Brandname,Productname,Colors,Sizes,Description,Materials,Maintenance,RegularPrice,CurrentPrice
New Balance,Sneaker mit Klettverschluss,Mittelgrau,"21|5|22,5|6|23,5|7|25|8|26|9|27,5|10","Kinder Sneaker von New Balance|Veloursleder und Textil|Klettverschluss|Logo-Details|Gummisohle|Sohlenhöhe: 1,5 cm|Farbe Mittelgrau|Artikelnummer 9514283",Hauptmaterial 1: 100% Textil|Hauptmaterial 2: 100% Veloursleder|Futter 1: 100% Textil|Sohle: 100% Gummi,,54.95,39.95
UGG,Boots aus echtem Veloursleder,Schwarz,"22,5|6|23,5|7|25|8|26|9|27|10|28|11|29|12",Kinder Boots von Ugg Australia|Echtes Veloursleder|Überknöchelhoher Schaft|Zierschleife|Logo-Aufnäher|Futter aus Fake Fur|Gummisohle in Kontrastfarbe|Sohlenhöhe: 2 cm|Farbe Schwarz|Artikelnummer 9550419,Hauptmaterial 1: 100% Leder|Futter 1: 100% Textil|Sohle: 100% Gummi,,189.95,119.95
New Balance,Sneaker '574' aus Veloursleder mit Textileinsatz,Türkis,"21|5|22,5|6|23,5|7|25|8|26|9|27,5|10",Kinder Sneaker von New Balance|Modell 574|Veloursleder mit Textil|Kontrasteinsätze aus Mesh|Abgerundete Spitze|Klettverschluss|Logo-Applikationen|Gummisohle|Mehrfarbiges Design mit Details in Neonfarbe|Sohlenhöhe: 1 cm|Farbe Türkis|Artikelnummer 9582386,Hauptmaterial 1: 100% Veloursleder|Hauptmaterial 2: 100% Textil|Sohle: 100% Gummi,,59.95,59.95
UGG,Boots aus Veloursleder mit Futter aus Wolle,Mittelgrau|Mittelbraun,"31|1|32|2|33|3|20,5|4|30|13","Kinder Boots von Ugg Australia|Echtes Veloursleder|Futter aus Wolle|Ziernähte |Sohle aus Gummi|Logo-Aufnäher an der Ferse|Sohlenhöhe: 2,5 cm|Farbe Mittelgrau|Artikelnummer 9550426",Hauptmaterial 1: 100% Veloursleder|Futter 1: 100% Wolle|Sohle: 100% Gummi,,149.95,89.95
New Balance,Sneaker '420' aus Veloursleder,Dunkelgrau,"33|1,5|34,5|2,5|35|3|28|10,5|29|11,5|30|12|31|13|32|13,5",Kinder Sneaker von New Balance|Modell 420|Echtes Veloursleder mit Mesheinsätzen|Abgerundete Spitze|Zwei Klettverschlüsse|Logo-Applikationen|Gummisohle|Sohlenhöhe: 1 cm|Farbe Dunkelgrau|Artikelnummer 9582388,Hauptmaterial 1: 100% Veloursleder|Hauptmaterial 2: 100% Textil|Futter 1: 100% Textil|Sohle: 100% Gummi,,59.95,59.95
GIESSWEIN,Hausschuhe aus Schurwolle,Lila,26|27|28|29|30|31|32,Kinder Hausschuhe von GIESSWEIN|Modell Tengen|Reine Schurwolle |Abgerundete Spitze |Profilsohle |Elastischer Einsatz|Florale Stickerei und Eulen-Applikation|Sohlenhöhe: 1 cm|Farbe Lila|Artikelnummer 9629600,Hauptmaterial 1: 100% Schurwolle,,ab 44.95 ,34.95
SOREL,Boots mit herausnehmbarem Futter - wasserabweisend,Royalblau|Schwarz,"25|8|26|9|27|10|28|11|29|12|30|12,5|31|13","Kinder Boots von SOREL|Modell Children's Flurry|Wasserabweisendes Material|Überknöchelhoher Schaft|Gummizug und Klettverschluss|Profilsohle aus Gummi|Kontraststreifen und Logo-Stickerei|Herausnehmbares Futter aus Filz|Sohlenhöhe: 4,5 cm|Schafthöhe: 16 cm|Schaftweite: 35 cm|Farbe Schwarz|Artikelnummer 9495276",Hauptmaterial 1: 100% Textil|Hauptmaterial 2: 100% Synthetik|Futter 1: 100% Textil|Sohle: 100% Gummi, Nicht waschen| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,54.95,39.95
Aigle,"Gummistiefel aus mattem Gummi
",Rosa,24|25|26|27|28|29|30|31|32|33|34|35|36|37|38,Kinder Gummistiefel von Aigle|Mattes Gummi|Modell Lolly Pop|Zierstreifen|Logo|Textilfutter|Wadenhoher Schaft|Reflektor an der Ferse|Gummisohle|Sohlenhöhe: 2 cm|Schafthöhe: 22 cm|Schaftbreite: 30 cm|Farbe Rosa|Artikelnummer 9483407,Hauptmaterial 1: 100% Gummi|Futter 1: 100% Textil|Sohle: 100% Gummi,,32.95,32.95
Toms,Slip-On Sneaker aus Canvas ,Blau,"32,5|1|33|1,5|34|2|34,5|2,5|35|3|35,5|3,5|36|4|36,5|4,5|37,5|5|38|5,5|22|6|30|12|30,5|12,5|31|13|31,5|13,5","Kinder Slip-On Sneaker von Toms|Canvas|Elastischer Einstieg|Ziernaht|Innensohle aus Leder|Gummisohle|Label-Aufnäher an der Ferse|Angabe in US Größe|Sohlenhöhe: 1,5 cm |Farbe Blau|Artikelnummer 9446978",Hauptmaterial 1: 100% Textil|Futter 1: 100% Leder|Sohle: 100% Gummi,,34.95,21.95
NATIVE,Slip-On Sneaker mit eingestanztem Lochmuster,Mittelgrau|Rot,23|7|24|8|25|9|27|10|28|11|29|12|30|13,"Kinder Slip-On Sneaker von Native|Modell Jefferson|Wasserfestes Material|Abgerundete Spitze|Eingestanztes Lochmuster|Gummisohle|Waschbar|Gummierte Logo-Applikation|Sohlenhöhe: 1,5 cm|Farbe Rot|Artikelnummer 9477123",Hauptmaterial 1: 100% Synthetik|Sohle: 100% Synthetik, Nicht waschen| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,54.95,27.95
Birkenstock,Pantolette mit Star Wars-Print,Schwarz,27|28|29|30|31|32|33|34,"Kinder Pantolette von Birkenstock|Modell Kylo Ren|Birko-Flor|Einen verstellbaren Riemen|Innensohle aus echtem Leder|Ergonomisches Fußbett aus Naturkork|Profilsohle|Star Wars-Print|Made in Germany|Sohlenhöhe: 2,5 cm|Farbe Schwarz|Artikelnummer 9489022",Hauptmaterial 1: 100% Birko-Flor|Futter 1: 100% Leder|Futter 2: 100% Kork|Sohle: 100% Ethylenvinylacetat,,59.95,29.95
GIESSWEIN,Hausschuhe aus Schurwolle,Dunkelblau,26|27|28|29|30|31|32,"Kinder Hausschuhe von GIESSWEIN|Modell Weidach|Reine Schurwolle|Abgerundete Spitze |Profilsohle|Elastischer Einsatz|Sohlenhöhe: 0,5 cm |Farbe Dunkelblau|Artikelnummer 9629598",Hauptmaterial 1: 100% Schurwolle|Sohle: 100% Gummi,,ab 39.95 ,29.95
Toms,Slip-On Sneaker mit umlaufender Schnürung,Jeans,"32,5|1|33|1,5|34|2|34,5|2,5|35|3|35,5|3,5|36|4|36,5|4,5|37,5|5|38|5,5|22|6|30|12|30,5|12,5|31|13|31,5|13,5",Kinder Slip-On Sneaker von Toms|Modell Bimini|Canvas|Kontrastsohle aus Gummi|Leicht gepolsterte Innensohle|Abgerundete Spitze|Elastischer Einsatz|Umlaufende Schnürung|Dekorative Nähte|Logo-Badges|Sohlenhöhe: 2 cm |Farbe Jeans|Artikelnummer 9446983,"Hauptmaterial 1: 100% Textil|Futter 1: 100% Textil|Futter 2: 100% Textil|Sohle: 100% Gummi, 100% Textil",,39.95,24.95
New Balance,Sneaker '574' aus Veloursleder,Pink,"33|1,5|34,5|2,5|35|3|28|10,5|29|11,5|30|12|31|13|32|13,5",Kinder Sneaker von New Balance|Modell 574|Echtes Veloursleder|Kontrasteinsätze aus Mesh|Logo-Aufnäher|Klettverschluss|Gummisohle|Sohlenhöhe: 2 cm|Farbe Pink|Artikelnummer 9582385,Hauptmaterial 1: 100% Leder|Hauptmaterial 2: 100% Textil|Futter 1: 100% Textil|Sohle: 100% Gummi,,64.95,64.95
Converse,Sneaker 'All Star Low' aus Canvas,Schwarz,"32|1|33|1,5|34|2,5|35|3|27|10,5|28|11|29|12|30|12,5|31|13",Kinder Sneaker von Converse|Modell All Star Low|Canvas|Zehenkappe aus Gummi|Schnürverschluss|Gummisohle mit Zierstreifen|Sohlenhöhe: 2 cm|Farbe Schwarz|Artikelnummer 9600007,Hauptmaterial 1: 100% Textil|Futter 1: 100% Textil|Sohle: 100% Gummi,,42.95,42.95
Havaianas,Zehentrenner mit Frozen©-Print,Weiß|Rosa,27/28|29/30|31/32|33/34|35/36,Kinder Zehentrenner von havaianas|Strapazierfähiges Material|Riemen mit Glitter-Effekt und Logo-Applikation|Innensohle mit Frozen©-Print|Gummisohle|Sohlenhöhe: 1 cm|Farbe Rosa|Artikelnummer 9646229,Hauptmaterial 1: 100% Synthetik|Sohle: 100% Gummi,,19.95,19.95
GIESSWEIN,Hausschuhe mit Stickereien,Dunkelblau,26|27|28|29|30|31|32,Kinder Hausschuhe von GIESSWEIN|Modell Aurich|Reine Baumwolle|Elastischer Riemen|Elastischer Einsatz im Fersenbereich|Feuerwehr-Stickereien|Rutschfeste Sohle aus Kautschuk|Made in Austria|Sohlenhöhe: 1 cm|Farbe Dunkelblau|Artikelnummer 9643825,Hauptmaterial 1: 100% Baumwolle|Futter 1: 100% Baumwolle|Sohle: 100% Kautschuk,,37.95,37.95
Converse,High Top Sneaker aus Canvas,Rot,23|7|24|8|25|9|26|10,Kinder High Top Sneaker von Converse|Canvas|Kontrastsohle aus Gummi|Gummierte Vorderkappe|Schnürverschluss|Logo-Badge |US-Größen siehe Größentabelle|Sohlenhöhe: 2 cm |Farbe Rot|Artikelnummer 9446187,Hauptmaterial 1: 100% Textil|Futter 1: 100% Textil|Sohle: 100% Gummi,,44.95,44.95
NATIVE,Slip-On Sneaker mit leuchtender Sohle,Blau|Orange,7|8|9|10|11|12|13,"Kinder Slip-On Sneaker von Native|Modell Jefferson Glow|Wasserfestes Material|Abgerundete Spitze|Eingestanztes Lochmuster|Gummisohle (leuchtet im Dunklen)|Waschbar|Gummierte Logo-Applikation|Sohlenhöhe: 1,5 cm|Farbe Orange|Artikelnummer 9476631",Hauptmaterial 1: 100% Synthetik|Sohle: 100% Synthetik, Nicht waschen| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,49.95,24.95
Havaianas,Zehentrenner mit DC Comic™-Print,Mittelgrau,27/28|29/30|31/32|33/34|35/36,"Kinder Zehentrenner von havaianas|Strapazierfähiges Material|Riemen mit Logo in Kontrastfarbe|Sohle aus Gummi|DC Comics™-Print|Sohlenhöhe: 1,5 cm|Farbe Mittelgrau|Artikelnummer 9646234",Hauptmaterial 1: 100% Synthetik|Futter 1: 100% Synthetik|Sohle: 100% Gummi,,19.95,19.95
Espadrij,Espadrilles aus Veloursleder,Blau|Sand,28|29|30|31|32|33|34,Kinder Espadrilles von Espadrij l'originale®|Echtes Veloursleder|Abgerundete Spitze|Kontrastnähte|Innensohle aus echtem Leder|Gummisohle mit Besatz in Flechtoptik|Made in Spain|Sohlenhöhe: 1 cm|Farbe Sand|Artikelnummer 9641845,Hauptmaterial 1: 100% Leder|Futter 1: 100% Leder|Sohle: 100% Gummi,,64.95,64.95
Converse,Slip-On Sneaker 'All Star' mit Ösen,Weiß,"32|1|33|1,5|34|2,5|35|3|27|10,5|28|11|29|12|30|12,5|31|13","Kinder Slip-On Sneaker von Converse|Modell All Star|Canvas|Ösen|Vorderkappe aus Gummi|Logo-Stickerei|Gummisohle|Sohlenhöhe: 2,5 cm|Farbe Weiß|Artikelnummer 9600003",Hauptmaterial 1: 100% Textil|Futter 1: 100% Textil|Sohle: 100% Gummi,,44.95,44.95
GIESSWEIN,Hausschuhe aus reiner Baumwolle,Gras Grün,26|27|28|29|30|31|32,"Kinder Hausschuhe von GIESSWEIN|Modell Söll|Reine Baumwolle|Elastischer Riemen|Elastischer Einsatz im Fersenbereich|Kontrastbesatz an der Ferse|Innensohle aus echtem Leder|Flache Profilsohle aus Gummi|Made in Austria|Sohlenhöhe: 0,5 cm|Farbe Gras Grün|Artikelnummer 9643821",Hauptmaterial 1: 100% Baumwolle|Futter 1: 100% Leder|Sohle: 100% Gummi,,34.95,34.95
Aigle,Gummistiefel mit Reflektorstreifen,Rosa,21|22|23,Kinder Gummistiefel von Aigle|Wadenhoher Schaft|Reflektorstreifen auf der Rückseite|Abgerundete Spitze|Gummisohle|Sohlenhöhe: 3 cm|Farbe Rosa|Artikelnummer 9483411,Hauptmaterial 1: 100% Synthetik|Futter 1: 100% Textil|Sohle: 100% Gummi, Nicht waschen| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,26.95,26.95
Havaianas,Zehentrenner mit Riemen in Kontrastfarbe,Marineblau,27/28|29/30|31/32|33/34|35/36,"Kinder Zehentrenner von havaianas|Strapazierfähiges Material|Riemen in Kontrastfarbe mit Logo|Sohle aus Gummi|Sohlenhöhe: 1,5 cm|Farbe Marineblau|Artikelnummer 9646225",Hauptmaterial 1: 100% Synthetik|Futter 1: 100% Synthetik|Sohle: 100% Gummi,,19.95,19.95
Pretty Ballerinas,Ballerinas mit Glitter-Effekt und Zierschleife,Silber|Rosa|Gold,26|27|28|29|30|31|32|33|34,"Kinderballerinas von Pretty Ballerinas|Strapazierfähiges Material|Glitter-Effekt|Abgerundete Spitze|Elastischer Riemen|Zierschleife|Futter aus Leder|Flache Gummisohle|Sohlenhöhe: 0,5 cm|Farbe Rosa|Artikelnummer 9435745",Hauptmaterial 1: 100% Synthetik|Futter 1: 100% Leder|Sohle: 100% Gummi,,99.95,99.95
New Balance,Sneaker '373' mit Klettverschluss,Blau,"21|5|22,5|6|25|8|26|9|27,5|10",Kinder Sneaker von New Balance|Modell 373|Textil in Velourslederoptik|Einsätze aus Mesh|Logo-Prints|Klettverschluss|Gummisohle|Sohlenhöhe: 1 cm|Farbe Blau|Artikelnummer 9582387,Hauptmaterial 1: 100% Textil|Futter 1: 100% Textil|Sohle: 100% Gummi,,49.95,49.95
GIESSWEIN,Hausschuhe mit Giraffen-Aufnäher,Beige,26|27|28|29|30|31|32,Kinder Hausschuhe von GIESSWEIN|Modell Anderlingen|Reine Baumwolle|Elastische Riemen mit Effektgarn|Elastischer Einsatz im Fersenbereich|Giraffen-Aufnäher|Giraffenmuster|Rutschfeste Sohle aus Kautschuk|Made in Austria|Sohlenhöhe: 1 cm|Farbe Beige|Artikelnummer 9643817,Hauptmaterial 1: 100% Baumwolle|Futter 1: 100% Baumwolle|Sohle: 100% Kautschuk,,39.95,39.95
New Balance,Sneaker '574' aus Veloursleder,Hellgrau|Blau,"33|1,5|34,5|2,5|35|3|28|10,5|29|11,5|30|12|31|13|32|13,5","Kinder Sneaker von New Balance|Modell 574|Echtes Veloursleder|Kontrasteinsätze aus Canvas|Logo-Aufnäher|Klettverschluss|Gummisohle|Sohlenhöhe: 1,5 cm|Farbe Blau|Artikelnummer 9582391",Hauptmaterial 1: 100% Leder|Hauptmaterial 2: 100% Textil|Futter 1: 100% Textil|Sohle: 100% Gummi,,64.95,64.95
Converse,Slip-On Sneaker 'All Star' aus Canvas mit Ösen,Blau,"32|1|33|1,5|34|2,5|35|3|36|4|37|4,5|38|5,5|27|10,5|28|11|29|12|30|12,5|31|13",Kinder Slip-On Sneaker von Converse|Modell All Star|Details in Kontrastfarbe|Abgerundete Spitze|Zehenkappe aus Gummi|Ösen|Logo-Stickerei|Gummisohle|Sohlenhöhe: 2 cm|Farbe Blau|Artikelnummer 9600008,Hauptmaterial 1: 100% Textil|Futter 1: 100% Textil|Sohle: 100% Gummi,,44.95,44.95
Havaianas,Zehentrenner mit Riemen in Kontrastfarbe,Pink|Mittelgrau,27/28|29/30|31/32|33/34|35/36,"Kinder Zehentrenner von havaianas|Strapazierfähiges Material|Riemen in Kontrastfarbe mit Logo|Sohle aus Gummi|Sohlenhöhe: 1,5 cm|Farbe Pink|Artikelnummer 9646223",Hauptmaterial 1: 100% Synthetik|Futter 1: 100% Synthetik|Sohle: 100% Gummi,,17.95,17.95
Aigle,Gummistiefel mit Reflektorstreifen,Rot,21|22|23,Kinder Gummistiefel von Aigle|Wadenhoher Schaft|Reflektorstreifen auf der Rückseite|Abgerundete Spitze|Gummisohle|Sohlenhöhe: 3 cm|Farbe Rot|Artikelnummer 9483409,Hauptmaterial 1: 100% Synthetik|Futter 1: 100% Textil|Sohle: 100% Gummi, Nicht waschen| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,26.95,26.95
New Balance,Sneaker '574' aus Veloursleder,Hellgrau|Hellgrau,"36|4|20,5|4,5|21,5|5,5|23|6,5|23,5|7",Kinder Sneaker von New Balance|Modell 574|Echtes Veloursleder|Kontrasteinsätze aus Canvas|Logo-Aufnäher|Schnürverschluss|Profilsohle aus Gummi|Sohlenhöhe: 2 cm|Farbe Hellgrau|Artikelnummer 9582393,Hauptmaterial 1: 100% Leder|Hauptmaterial 2: 100% Textil|Futter 1: 100% Textil|Sohle: 100% Gummi,,69.95,69.95
Espadrij,Espadrilles aus Veloursleder,Rosa|Fuchsia,28|29|30|31|32|33|34,"Kinder Espadrilles von Espadrij l'originale®|Echtes Veloursleder|Abgerundete Spitze |Gummisohle mit Kontrastbesatz in Flechtoptik|Made in Spain|Sohlenhöhe: 1,5 cm|Farbe Fuchsia|Artikelnummer 9641843",Hauptmaterial 1: 100% Veloursleder|Sohle: 100% Gummi,,64.95,64.95
New Balance,Sneaker '574' aus Veloursleder,Hellgrau|Blau,"33|1,5|34,5|2,5|35|3|28|10,5|29|11,5|30|12|31|13|32|13,5","Kinder Sneaker von New Balance|Modell 574|Echtes Veloursleder|Kontrasteinsätze aus Canvas|Logo-Aufnäher|Klettverschluss|Gummisohle|Sohlenhöhe: 1,5 cm|Farbe Hellgrau|Artikelnummer 9582390",Hauptmaterial 1: 100% Leder|Hauptmaterial 2: 100% Textil|Futter 1: 100% Textil|Sohle: 100% Gummi,,64.95,64.95
GIESSWEIN,Hausschuhe aus Baumwolle mit Ziersteinbesatz,Türkis,26|27|28|29|30|31|32,Kinder Hausschuhe von GIESSWEIN|Modell Altenmoor|Reine Baumwolle|Abgerundete Spitze|Elastischer Riemen mit Effektgarn|Elastischer Einsatz im Fersenbereich|Ziersteinbesatz|Rutschfeste Gummisohle|Made in Austria|Sohlenhöhe: 1 cm|Farbe Türkis|Artikelnummer 9643818,Hauptmaterial 1: 100% Baumwolle|Sohle: 100% Gummi,,34.95,34.95
Havaianas,Zehentrenner mit Allover-Muster,Weiß,27/28|29/30|31/32|33/34|35/36,"Kinder Zehentrenner von havaianas|Strapazierfähiges Material|Logo am Riemen|Sohle aus Gummi|Allover-Muster|Sohlenhöhe: 1,5 cm|Farbe Weiß|Artikelnummer 9646226",Hauptmaterial 1: 100% Synthetik|Futter 1: 100% Synthetik|Sohle: 100% Gummi,,19.95,19.95
GIESSWEIN,Hausschuhe aus reiner Baumwolle,Rosa,26|27|28|29|30|31|32,"Kinder Hausschuhe von GIESSWEIN|Modell Söll|Reine Baumwolle|Elastischer Riemen|Elastischer Einsatz im Fersenbereich|Kontrastbesatz im Fersenbereich|Innensohle aus echtem Leder|Flache Profilsohle aus Gummi|Made in Austria|Sohlenhöhe: 0,5 cm|Farbe Rosa|Artikelnummer 9643815",Hauptmaterial 1: 100% Baumwolle|Futter 1: 100% Leder|Sohle: 100% Gummi, Schonwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,34.95,34.95
Espadrij,Espadrilles aus Veloursleder,Blau|Sand,28|29|30|31|32|33|34,Kinder Espadrilles von Espadrij l'originale®|Echtes Veloursleder|Abgerundete Spitze|Kontrastnähte|Innensohle aus echtem Leder|Gummisohle mit Besatz in Flechtoptik|Made in Spain|Sohlenhöhe: 1 cm|Farbe Blau|Artikelnummer 9641844,Hauptmaterial 1: 100% Leder|Futter 1: 100% Leder|Sohle: 100% Gummi,,64.95,64.95
Timberland,Lederboots - wasserabweisend und atmungsaktiv,Mittelbraun,"33|1,5|34|2|35|3|31|13|32|13,5",Kinder Lederboots von Timberland|Modell 6-Inch Premium Boot|Echtes Leder|Wasserabweisend und atmungsaktiv|Abgerundete Spitze |Überknöchelhoher Schaft|EVA-Profilsohle |Schnürverschluss|Sohlenhöhe: 3 cm|Farbe Mittelbraun|Artikelnummer 9507082,Hauptmaterial 1: 100% Leder|Sohle: 100% Gummi,,119.95,89.95
GIESSWEIN,Hausschuhe aus Schafwolle mit Applikationen,Beige,26|27|28|29|30|31|32,"Kinder Hausschuhe von GIESSWEIN|Modell Waldeck|Schafwolle|Filz|Niedriger, elastischer Schaft|Abgerundete Spitze|Stickereien und Applikationen|Profilsohle aus Naturkautschuk|Sohlenhöhe: 1 cm|Farbe Beige|Artikelnummer 9629601",Hauptmaterial 1: 100% Schafwolle|Sohle: 100% Gummi, Normalwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,ab 49.95 ,39.95
UGG,Boots aus wasserdichtem Leder,Schwarz,31|1|30|13,"Kinder Boots von UGG|Modell Maple|Echtes, wasserdichtes Leder|Abgerundete Spitze |Überknöchelhoher Schaft|Lammfellfutter|EVA-Profilsohle|Schnürverschluss|Logo-Aufnäher|Inklusive Ersatzschnürsenkel in Kontrastfarbe|Sohlenhöhe: 2,5 cm|Farbe Schwarz|Artikelnummer 9550429",Hauptmaterial 1: 100% Leder|Futter 1: 100% Lammfell|Sohle: 100% Gummi,,129.95,99.95
GIESSWEIN,Hausschuhe mit Stickereien,Dunkelblau,26|27|28|29|30|31|32,Kinder Hausschuhe von GIESSWEIN|Modell Abtswind|Reine Baumwolle|Elastischer Riemen|Elastischer Einsatz im Fersenbereich|Rennwagen-Stickereien|Rutschfeste Sohle aus Naturkautschuk|Made in Austria|Sohlenhöhe: 1 cm|Farbe Dunkelblau|Artikelnummer 9643824,Hauptmaterial 1: 100% Baumwolle|Sohle: 100% Kautschuk,,34.95,34.95
Havaianas,Zehentrenner mit Frozen©-Print,Weiß|Rosa,27/28|29/30|31/32|33/34|35/36,Kinder Zehentrenner von havaianas|Strapazierfähiges Material|Riemen mit Glitter-Effekt und Logo-Applikation|Innensohle mit Frozen©-Print|Gummisohle|Sohlenhöhe: 1 cm|Farbe Weiß|Artikelnummer 9646228,Hauptmaterial 1: 100% Synthetik|Sohle: 100% Gummi,,19.95,19.95
